"runner75" "runner50" "runner25" "runner75_extended" "minority_dummy" "above_insurance" "opening_balance" "avg_transaction" "max_accountage" "ward_runners" "social_runners" "loanlink" "avg_deposit_chng" "avg_withdraw_chng" "uninsured_rel" "uninsured_no_rel" "travel_costs" "ward" "adress" "accountage" "ln_accountage" "loanlink_before" "loanlink_after" "loanlink_current"
"1" 0 0 0 0 0 0 16.75 4 9.45751285552979 0.0358422957360744 0 0 0 0 0 0 3 39 10009534 12804 9.45751285552979 0 0 0
"2" 0 0 0 0 0 0 5.0423002243042 0 9.41995239257812 0.0313192009925842 0 0 0 0 0 0 2 6 10011638 12332 9.41995239257812 0 0 0
"3" 0 0 0 0 0 0 4.56859970092773 0 9.36802768707275 0 0 0 0 0 0 0 7 27 10010048 11708 9.36802768707275 0 0 0
"4" 0 0 0 0 1 0 3.96979999542236 0 7.6838641166687 0.0313192009925842 0 0 0 0 0 0 1 6 10014958 2173 7.6838641166687 0 0 0
"5" 0 0 0 0 0 0 0.00930000003427267 0 7.6838641166687 0.0314685329794884 0 0 0 0 0 0 6 37 10014066 2173 7.6838641166687 0 0 0
"6" 0 0 0 0 0 0 3.81019997596741 0 9.34749031066895 0.0127041740342975 0 0 0 0 0 0 4 2 10011649 11470 9.34749031066895 0 0 0
"7" 0 0 0 0 0 0 0.0044999998062849 0 7.6838641166687 0.032992035150528 0 0 0 0 0 0 2 5 10011792 2173 7.6838641166687 0 0 0
"8" 0 0 0 0 0 0 0.00649999966844916 0 7.6838641166687 0.0313192009925842 0 0 0 0 0 0 1 6 10013266 2173 7.6838641166687 0 0 0
"9" 0 0 0 0 0 0 0.0368999987840652 0 7.6838641166687 0.0442890450358391 0 0 0 0 0 0 3 1 NA 2173 7.6838641166687 0 0 0
"10" 0 0 0 0 1 0 5.7915997505188 0 9.31090927124023 0.0314136110246181 0 0 0 0 0 0 2 38 10000795 11058 9.31090927124023 0 0 0
"11" 0 0 0 0 0 0 3 0 9.30764865875244 0.0246153846383095 0 0 0 0 0 0 4 40 10015399 11022 9.30764865875244 0 0 0
"12" 0 0 0 0 0 0 11.5720996856689 25 9.30755805969238 0.0127041740342975 0 0 0 0 0 0 4 2 10015660 11021 9.30755805969238 0 0 0
"13" 0 0 0 0 0 0 21.8554000854492 0 9.30665016174316 0.0246153846383095 0 0 0 0 0 0 5 40 10015400 11011 9.30665016174316 0 0 0
"14" 0 0 0 0 0 0 5.15099954605103 0 7.6838641166687 NA 0 0 0 0 0 0 NA NA NA 2173 7.6838641166687 0 0 0
"15" 0 0 0 0 0 0 134.225296020508 0 9.30583190917969 0.0313192009925842 0 0 0 0 0 0 2 6 10011991 11002 9.30583190917969 0 0 0
"16" 0 0 0 0 0 0 13.3743991851807 2 9.30127716064453 0.0127041740342975 0.0247116964310408 0 0 0 0 0 4 2 10015651 10952 9.30127716064453 0 0 0
"17" 0 0 0 0 0 0 12.4416007995605 0 9.29963207244873 0.0313192009925842 0 0 0 0 0 0 2 6 10014250 10934 9.29963207244873 0 0 0
"18" 0 0 0 0 0 0 57.4421005249023 0 9.29413032531738 0.0239520967006683 0 0 0 0 0 0 7 43 10013905 10874 9.29413032531738 0 0 0
"19" 0 0 0 0 0 0 10.3800001144409 0 9.29155158996582 0.0313192009925842 0 0 0 0 0 0 2 6 10014316 10846 9.29155158996582 0 0 0
"20" 0 0 0 0 0 0 4.58869981765747 0 9.29044437408447 0.0227272734045982 0 0 0 0 0 0 5 16 10014265 10834 9.29044437408447 0 0 0
"21" 0 0 0 0 1 0 3.9685001373291 0 9.29007530212402 0.0313192009925842 0 0 0 0 0 0 2 6 10214009 10830 9.29007530212402 0 0 0
"22" 0 0 0 0 0 0 24.2572002410889 0 9.28905868530273 0.0313192009925842 0 0 0 0 0 0 2 6 10012371 10819 9.28905868530273 0 0 0
"23" 0 0 0 0 0 0 0.708799958229065 0 7.6838641166687 0.0313192009925842 0 0 0 0 0 0 1 6 10013267 2173 7.6838641166687 0 0 0
"24" 0 0 0 0 0 0 19.8752994537354 0 9.28767204284668 0.0358422957360744 0 0 0 0 0 0 5 39 10011721 10804 9.28767204284668 0 0 0
"25" 0 0 0 0 0 0 7.36950016021729 0 9.28767204284668 0.0358422957360744 0 0 0 0 0 0 5 39 10011721 10804 9.28767204284668 0 0 0
