"minority_dummy" "above_insurance" "opening_balance" "ln_maturity" "loanlink" "travel_costs" "ln_accountage" "ward" "runner" "uninsured_no_rel" "uninsured_rel" "loanlink_before" "loanlink_current" "loanlink_after" "household_key" "accountage" "days_maturity"
"46" 0 0 0.0540684945881367 4.55387687683105 0 5 7.20414924621582 7 0 0 0 0 0 0 NA 1345 94
"47" 0 0 0.0540986359119415 4.53259944915771 0 7 7.15539646148682 42 0 0 0 0 0 0 500005 1281 92
"48" 0 0 0.0541438348591328 4.49980974197388 0 1 7.20414924621582 1 0 0 0 0 0 0 1838 1345 89
"49" 1 0 0.0541589073836803 4.48863649368286 0 7 5.6240177154541 7 0 0 0 0 0 0 710 277 88
"50" 0 0 0.0542493164539337 4.4188404083252 0 7 7.15539646148682 10 0 0 0 0 0 0 3528 1281 82
"51" 0 0 0.0545356124639511 4.1588830947876 0 NA 7.15383386611938 NA 0 0 0 0 0 0 NA 1279 63
"52" 0 0 0.054565753787756 4.12713432312012 0 6 7.18159198760986 37 0 0 0 0 0 0 1689 1315 61
"53" 1 0 0.054565753787756 4.12713432312012 0 2 7.23849678039551 6 0 0 0 0 0 0 293031 1392 61
"54" 0 0 0.0545869879424572 5.85507202148438 0 NA 7.18159198760986 NA 0 0 0 0 0 0 NA 1315 348
"55" 0 0 0.0546109639108181 4.07753753662109 0 NA 7.15383386611938 NA 0 0 0 0 0 0 NA 1279 58
"56" 0 0 0.054852057248354 3.76120018959045 0 2 7.23849678039551 6 0 0 0 0 0 0 28 1392 42
"57" 1 0 0.0548636950552464 5.84643888473511 0 4 7.15617656707764 39 0 0 0 0 0 0 3007 1282 345
"58" 0 0 0.0549123287200928 6.00141477584839 0 7 7.23849678039551 28 0 0 0 0 0 0 1373 1392 403
"59" 1 0 0.0550630129873753 5.97635078430176 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 393
"60" 0 0 0.0551232844591141 5.96614694595337 0 7 7.23849678039551 43 0 0 0 0 0 1 1471 1392 389
"61" 0 0 0.0551986321806908 5.95324325561523 0 1 7.23849678039551 6 0 0 0 0 0 0 2049 1392 384
"62" 0 0 0.0552136935293674 5.95064258575439 0 1 7.18159198760986 1 0 0 0 0 0 0 132 1315 383
"63" 0 0 0.0554397292435169 5.91079664230347 0 2 7.15617656707764 6 0 0 0 0 0 0 13072 1282 368
"64" 1 0 0.0557527393102646 5.81711101531982 0 2 7.15851402282715 5 0 0 0 0 0 0 2303 1285 335
"65" 1 0 0.0557821877300739 5.81562185287476 1 2 7.19067621231079 6 0 0 0 0 1 0 134 1327 334.5
"66" 1 0 0.0558116436004639 5.8141303062439 0 1 7.15851402282715 6 0 0 0 0 0 0 3150 1285 334
"67" 1 0 0.0562472566962242 5.8021183013916 0 2 7.15851402282715 6 0 0 0 0 0 0 500 1285 330
"68" 1 0 0.0562767162919044 5.8006067276001 0 3 7.18159198760986 6 0 0 0 0 0 0 NA 1315 329.5
"69" 0 0 0.0570808202028275 0 0 NA 4.52178859710693 NA 0 0 0 0 0 0 3652 92 0
"70" 1 0 0.0582602731883526 0 0 3 6.50876903533936 6 0 0 0 0 0 0 NA 671 0
"71" 0 0 0.0626616477966309 5.95324325561523 0 NA 7.1921820640564 67 0 0 0 0 0 0 2151 1329 384
"72" 0 0 0.0627150684595108 5.94542074203491 0 7 7.15383386611938 32 0 0 0 0 0 0 909 1279 381
"73" 0 0 0.0632136985659599 5.86929702758789 0 1 7.18159198760986 6 0 0 0 0 0 0 2461 1315 353
"74" 1 0 0.0633205473423004 5.85220241546631 0 3 7.15539646148682 6 0 0 0 0 0 0 NA 1281 347
"75" 1 0 0.0633917823433876 5.84064149856567 0 1 7.17548990249634 6 0 0 0 0 0 0 1266 1307 343
"76" 1 0 0.0634452030062675 5.83188247680664 0 NA 7.15539646148682 NA 0 0 0 0 0 0 NA 1281 340
"77" 0 0 0.0634630098938942 5.82894563674927 0 4 7.15539646148682 39 0 0 0 0 0 0 546 1281 339
"78" 0 0 0.0634808242321014 5.82600021362305 0 NA 7.15539646148682 NA 0 0 0 0 0 0 NA 1281 338
"79" 0 0 0.0634986311197281 5.82304573059082 0 NA 7.15539646148682 NA 0 0 0 0 0 0 NA 1281 337
"80" 0 0 0.0634986311197281 5.82304573059082 1 6 7.15383386611938 7 0 0 0 1 0 0 315 1279 337
"81" 1 0 0.063552051782608 5.8141303062439 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 334
"82" 1 0 0.0635698586702347 5.81114101409912 0 1 7.19067621231079 6 0 0 0 0 0 0 1487 1327 333
"83" 0 0 0.0636054798960686 5.80513477325439 0 NA 7.19067621231079 NA 0 0 0 0 0 0 NA 1327 331
"84" 0 0 0.0636232867836952 5.8021183013916 0 7 7.17548990249634 42 0 0 0 0 0 0 3445 1307 330
"85" 0 0 0.0636589080095291 5.79605770111084 0 7 7.19818353652954 41 0 0 0 0 0 0 1623 1337 328
"86" 0 0 0.0636945217847824 5.7899603843689 0 4 7.19067621231079 39 0 0 0 0 0 0 3137 1327 326
"87" 0 0 0.0637123286724091 5.7868971824646 1 7 7.18159198760986 43 0 0 0 1 0 0 186 1315 325
"88" 0 0 0.0637123286724091 5.7868971824646 0 5 7.1762547492981 7 0 0 0 0 0 0 NA 1308 325
"89" 0 0 0.0637123286724091 5.7868971824646 0 7 7.18159198760986 46 0 0 0 0 0 0 2577 1315 325
"90" 0 0 0.0637479424476624 5.78074359893799 0 1 7.17548990249634 6 0 0 0 0 0 0 1450 1307 323
"91" 0 0 0.0637657567858696 5.77765226364136 0 1 7.19067621231079 1 0 0 0 0 0 0 2888 1327 322
"92" 0 0 0.0638547986745834 5.76205158233643 0 1 7.19067621231079 6 0 0 0 0 0 0 1832 1327 317
"93" 1 0 0.0638547986745834 5.76205158233643 0 3 7.1921820640564 6 0 0 0 0 0 0 NA 1329 317
"94" 1 0 0.0638725981116295 5.75890159606934 0 NA 7.18992233276367 75 0 0 0 0 0 0 3642 1326 316
"95" 0 0 0.0638904124498367 5.75574207305908 0 1 7.19067621231079 6 0 0 0 0 0 0 2509 1327 315
"96" 0 0 0.0638904124498367 5.75574207305908 0 7 7.1762547492981 8 0 0 0 0 0 0 2910 1308 315
"97" 1 0 0.0639082193374634 5.75257253646851 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 314
"98" 1 0 0.06392602622509 5.74939298629761 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 313
"99" 0 0 0.06397944688797 5.7397928237915 0 NA 7.20934009552002 NA 0 0 0 0 0 0 NA 1352 310
"100" 0 0 0.0640506818890572 5.72684764862061 0 2 7.19067621231079 5 0 0 0 0 0 0 376 1327 306
"101" 0 0 0.0641575306653976 5.70711040496826 0 6 7.17930793762207 37 0 0 0 0 0 0 2115 1312 300
"102" 1 0 0.0641753450036049 5.70378255844116 0 1 7.18159198760986 6 0 0 0 0 0 0 1445 1315 299
"103" 1 0 0.0642643868923187 5.68697547912598 0 2 7.18159198760986 6 0 0 0 0 0 0 3373 1315 294
"104" 1 0 0.0642643868923187 5.68697547912598 0 3 7.17701864242554 6 0 0 0 0 0 0 NA 1309 294
"105" 0 0 0.0642643868923187 5.68697547912598 0 6 7.18159198760986 8 0 0 0 0 0 0 NA 1315 294
"106" 0 0 0.0642643868923187 5.68697547912598 0 7 7.17548990249634 6 0 0 0 0 0 0 1935 1307 294
"107" 0 0 0.0642643868923187 5.68697547912598 0 2 7.17548990249634 6 0 0 0 0 0 0 2091 1307 294
"108" 1 0 0.0642643868923187 5.68697547912598 0 4 7.17548990249634 3 0 0 0 0 0 0 2770 1307 294
"109" 0 0 0.0642643868923187 5.68697547912598 0 NA 7.18083143234253 NA 0 0 0 0 0 0 NA 1314 294
"110" 0 0 0.0642643868923187 5.68697547912598 0 7 7.17548990249634 37 0 0 0 0 0 0 2146 1307 294
"111" 0 0 0.0642643868923187 5.68697547912598 0 1 7.18159198760986 6 0 0 0 0 0 0 52543 1315 294
"112" 0 0 0.0642643868923187 5.68697547912598 0 NA 7.1884126663208 NA 0 0 0 0 0 0 NA 1324 294
"113" 0 0 0.0642643868923187 5.68697547912598 0 1 7.20934009552002 6 0 0 0 0 0 0 NA 1352 294
"114" 0 0 0.0642643868923187 5.68697547912598 0 NA 7.17548990249634 NA 0 0 0 0 0 0 NA 1307 294
"115" 0 0 0.0642643868923187 5.68697547912598 0 NA 7.17548990249634 NA 0 0 0 0 0 0 NA 1307 294
"116" 0 0 0.0642643868923187 5.68697547912598 0 NA 7.17548990249634 NA 0 0 0 0 0 0 NA 1307 294
"117" 1 0 0.0654191747307777 5.67675399780273 0 1 7.1762547492981 6 0 0 0 0 0 0 922 1308 291
"118" 0 0 0.0654191747307777 5.67675399780273 0 7 7.1921820640564 42 0 0 0 0 0 0 1382 1329 291
"119" 0 0 0.0654767155647278 5.66642665863037 0 2 7.18992233276367 1 0 0 0 0 0 0 140 1326 288
"120" 0 0 0.0657835602760315 5.60947179794312 0 7 7.1921820640564 47 0 0 0 0 0 0 2437 1329 272
"121" 1 0 0.0663397237658501 5.49716806411743 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 243
"122" 0 0 0.0666082203388214 5.43807935714722 0 3 7.19067621231079 6 0 0 0 0 0 0 NA 1327 229
"123" 0 0 0.066991776227951 5.34710741043091 0 NA 7.15539646148682 NA 0 0 0 0 0 0 NA 1281 209
"124" 0 0 0.0670876726508141 5.32300996780396 0 NA 7.15539646148682 NA 0 0 0 0 0 0 NA 1281 204
"125" 1 0 0.067126028239727 5.3132061958313 0 NA 7.18992233276367 NA 0 0 0 0 0 0 NA 1326 202
"126" 1 0 0.067126028239727 5.3132061958313 0 2 7.18992233276367 6 0 0 0 0 0 0 911 1326 202
"127" 0 0 0.067126028239727 5.3132061958313 0 7 7.18992233276367 39 0 0 0 0 0 0 3181 1326 202
"128" 1 0 0.067126028239727 5.3132061958313 0 2 7.19067621231079 6 0 0 0 0 0 0 118 1327 202
"129" 0 0 0.067126028239727 5.3132061958313 0 7 7.19067621231079 10 0 0 0 0 0 0 13618 1327 202
"130" 1 0 0.067126028239727 5.3132061958313 0 2 7.17548990249634 6 0 0 0 0 0 0 133 1307 202
"131" 0 0 0.067126028239727 5.3132061958313 0 2 7.18992233276367 6 0 0 0 0 0 0 2090 1326 202
"132" 0 0 0.0688835605978966 5.17614984512329 0 6 7.15617656707764 37 0 0 0 0 0 0 2432 1282 176
"133" 0 0 0.0695904120802879 5.89852666854858 0 1 7.1921820640564 1 0 0 0 0 0 0 2888 1329 363.5
"134" 0 0 0.0701397284865379 5.88471412658691 0 7 7.1921820640564 18 0 0 0 0 0 0 2173 1329 358.5
